,Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
18038,18039,0.23,Very Good,F,VS1,63.2,58.0,3.89,3.86,2.45,483
18015,18016,1.23,Ideal,I,VVS1,62.1,57.0,6.83,6.9,4.26,6989
10085,10086,1.09,Premium,F,VS1,60.9,58.0,6.63,6.67,4.05,8057
8387,8388,0.72,Premium,F,VS1,62.4,58.0,5.83,5.7,3.6,2802
6594,6595,1.01,Ideal,D,SI2,,56.0,6.4,6.34,3.99,4872
26197,26198,1.0,Ideal,E,SI2,62.3,57.0,6.33,6.28,3.93,4077
26641,26642,0.54,Premium,H,VVS2,60.6,60.0,5.31,5.29,3.21,1786
5346,5347,0.32,Ideal,F,IF,61.3,57.0,4.42,4.46,2.72,943
641,642,0.23,Premium,D,VVS2,59.6,61.0,4.03,3.99,2.39,640
9091,9092,0.7,Premium,D,VS2,61.0,60.0,5.75,5.7,3.49,2909
5361,5362,0.51,Ideal,E,SI1,62.8,55.0,5.12,5.07,3.2,1546
4427,4428,1.01,Premium,F,VS2,59.2,61.0,6.59,6.55,3.89,6900
19997,19998,0.9,Ideal,F,SI1,61.5,56.0,6.25,6.2,3.83,4284
1896,1897,0.91,Good,E,SI2,63.1,61.0,6.04,6.14,3.84,3520
21900,21901,1.52,Ideal,I,SI1,61.2,55.4,7.38,7.45,4.54,9067
15895,15896,0.39,Ideal,G,VS1,61.3,56.0,4.68,4.71,2.88,752
4429,4430,0.73,Ideal,G,SI1,62.0,54.0,5.81,5.84,3.61,2583
12469,12470,0.52,Premium,G,VS1,,60.0,5.13,5.19,3.16,1689
22145,22146,1.19,Very Good,H,SI1,60.8,59.0,6.84,6.87,4.17,5595
20293,20294,1.24,Very Good,I,VS1,61.4,63.0,6.89,6.88,4.23,5444
3774,3775,0.3,Ideal,G,VS2,61.8,54.0,4.34,4.37,2.69,545
17805,17806,1.01,Fair,G,VS2,65.1,56.0,6.2,6.15,4.02,5950
11508,11509,1.63,Premium,E,VS2,61.8,58.0,7.57,7.49,4.65,13678
216,217,1.22,Ideal,I,SI1,62.3,58.0,6.8,6.82,4.24,6398
5854,5855,1.01,Good,F,SI1,63.5,57.0,6.29,6.33,4.01,4549
5291,5292,1.03,Premium,D,SI2,62.3,58.0,6.5,6.4,4.03,3675
11587,11588,0.33,Premium,I,VS2,,58.0,4.42,4.34,2.74,594
16349,16350,0.33,Ideal,G,VVS2,61.5,56.0,4.49,4.45,2.75,965
13054,13055,1.25,Premium,H,SI1,60.7,58.0,7.04,6.99,4.26,5027
4221,4222,0.54,Ideal,F,VS1,62.5,56.0,5.18,5.22,3.25,1819
20667,20668,0.63,Ideal,E,VS2,62.1,56.0,5.49,5.52,3.42,2205
10494,10495,0.99,Fair,I,SI1,60.7,66.0,6.42,6.34,3.87,3337
17501,17502,0.72,Premium,G,VS2,61.4,57.0,5.83,5.77,3.56,2550
24095,24096,1.71,Very Good,G,VS2,62.5,58.0,7.56,7.66,4.76,15829
1615,1616,0.56,Fair,E,SI1,64.5,61.0,5.22,5.09,3.33,1358
21095,21096,0.7,Very Good,F,VS1,62.2,58.0,5.64,5.75,3.54,2889
19022,19023,1.0,Very Good,G,SI1,58.6,63.0,6.56,6.58,3.85,4218
3973,3974,0.7,Good,F,SI2,64.1,59.0,5.53,5.58,3.56,2390
5860,5861,0.42,Premium,D,SI1,60.2,57.0,4.89,4.85,2.93,970
15362,15363,0.91,Very Good,H,VS2,63.5,57.0,6.12,6.16,3.9,4012
13681,13682,0.42,Ideal,G,VS2,62.2,54.0,4.82,4.8,2.99,1087
9790,9791,0.3,Premium,G,VVS2,61.0,60.0,4.3,4.32,2.63,684
26337,26338,0.34,Premium,J,VS1,61.7,58.0,4.47,4.41,2.74,574
20483,20484,0.32,Ideal,G,VVS2,62.4,56.0,4.42,4.4,2.75,936
1803,1804,0.9,Very Good,I,SI1,60.6,56.0,6.23,6.28,3.79,3730
24316,24317,0.7,Good,I,VVS2,63.3,55.0,5.61,5.67,3.57,2394
25580,25581,0.95,Very Good,J,VS1,62.4,57.0,6.25,6.29,3.91,3365
19794,19795,0.91,Very Good,E,SI1,62.5,61.0,6.1,6.19,3.84,4512
1561,1562,0.38,Premium,I,VS2,60.2,58.0,4.75,4.69,2.84,812
21584,21585,1.5,Fair,H,I1,69.3,61.0,6.99,6.81,4.78,3175
22488,22489,2.42,Premium,J,VS2,61.3,59.0,8.61,8.58,5.27,17168
23541,23542,0.53,Good,E,VVS2,63.4,61.0,5.11,5.18,3.26,2582
15971,15972,0.32,Premium,G,SI1,61.6,58.0,4.36,4.4,2.7,477
19833,19834,0.41,Very Good,D,SI1,60.3,63.0,4.8,4.78,2.89,920
9924,9925,1.86,Very Good,H,VVS2,58.6,62.0,8.07,8.14,4.75,17267
18585,18586,1.54,Very Good,E,SI2,59.0,62.0,7.56,7.59,4.47,7877
8135,8136,1.21,Premium,I,SI1,60.6,56.0,6.97,6.89,4.2,5556
772,773,1.22,Ideal,F,SI2,62.0,57.0,6.88,6.83,4.25,4852
10289,10290,1.31,Ideal,H,VS1,62.4,56.0,7.0,6.98,4.36,8392
23039,23040,1.51,Premium,G,VS2,60.8,60.0,7.42,7.38,4.5,13157
17038,17039,0.8,Ideal,H,VS1,63.1,58.0,5.89,5.96,3.74,3111
14001,14002,0.53,Good,E,VS2,64.0,55.0,5.11,5.14,3.28,1607
3597,3598,0.37,Ideal,F,VS1,61.7,56.0,4.61,4.63,2.85,811
394,395,1.18,Very Good,G,VS2,62.7,54.7,6.74,6.77,4.23,8411
17468,17469,1.23,Good,D,I1,63.7,58.0,6.79,6.72,4.3,4050
3427,3428,1.51,Premium,D,SI1,62.5,60.0,7.27,7.23,4.54,11760
25865,25866,0.51,Ideal,H,VS2,61.2,53.0,5.22,5.18,3.18,1312
4402,4403,0.9,Good,H,SI1,63.8,57.0,6.07,6.13,3.89,3201
4948,4949,0.51,Ideal,E,VS2,62.5,55.0,5.13,5.08,3.19,1781
5125,5126,1.15,Ideal,I,SI1,62.3,57.0,6.74,6.67,4.18,4925
14181,14182,0.23,Premium,D,VS2,58.5,61.0,4.06,3.98,2.35,411
13557,13558,0.31,Ideal,F,VS1,60.6,56.0,4.42,4.39,2.67,872
23228,23229,0.7,Fair,H,I1,62.1,66.0,5.56,5.52,3.44,1138
22880,22881,1.27,Very Good,J,VS2,61.8,60.0,6.9,6.94,4.28,5455
19690,19691,1.24,Ideal,H,SI1,61.3,57.0,6.95,6.89,4.24,6254
8831,8832,1.11,Premium,H,SI1,,58.0,6.63,6.59,4.09,4960
22961,22962,0.32,Very Good,E,SI1,62.2,58.0,4.36,4.39,2.72,561
16004,16005,0.41,Ideal,F,SI1,61.6,57.0,4.78,4.8,2.95,705
5717,5718,0.37,Premium,F,SI1,61.5,59.0,4.59,4.62,2.83,616
2029,2030,0.55,Ideal,G,VVS2,,53.8,5.25,5.28,3.27,2064
21436,21437,0.41,Very Good,D,SI1,63.4,55.0,4.72,4.68,2.98,947
26751,26752,0.53,Ideal,E,VVS1,61.5,54.0,5.25,5.23,3.22,3352
2057,2058,0.71,Very Good,F,SI2,59.5,58.0,5.82,5.87,3.48,2129
11248,11249,0.31,Ideal,D,VS2,62.1,56.0,4.35,4.34,2.7,942
17177,17178,0.36,Premium,G,VS1,61.7,59.0,4.59,4.55,2.82,932
26419,26420,0.75,Very Good,J,SI1,61.7,56.0,5.81,5.92,3.62,1859
12429,12430,0.73,Premium,F,SI2,61.4,58.0,5.83,5.8,3.57,2197
3994,3995,0.38,Ideal,G,VS2,62.2,56.0,4.62,4.64,2.88,766
7562,7563,1.4,Ideal,H,SI1,62.4,56.0,7.11,7.18,4.46,8075
26341,26342,0.31,Ideal,E,VS1,60.9,57.0,4.41,4.39,2.68,942
15488,15489,3.01,Premium,I,SI2,60.2,59.0,9.36,9.31,5.62,18242
12915,12916,0.42,Ideal,E,VS2,62.4,55.0,4.79,4.83,3.0,958
26571,26572,0.83,Ideal,H,VS2,61.3,54.0,6.1,6.06,3.73,2975
24183,24184,1.13,Ideal,G,IF,61.7,57.0,6.65,6.7,4.12,10228
25823,25824,0.31,Fair,F,SI1,64.7,56.0,4.28,4.25,2.76,618
494,495,0.58,Ideal,D,SI2,61.2,57.0,5.38,5.41,3.3,1436
18111,18112,1.52,Ideal,H,VS2,62.4,58.0,7.3,7.37,4.58,11272
2816,2817,0.54,Very Good,G,SI2,59.5,60.0,5.27,5.31,3.15,1083
8938,8939,2.0,Premium,D,SI2,61.0,58.0,8.06,7.97,4.89,14406
23396,23397,1.51,Ideal,G,SI2,62.3,56.0,7.31,7.37,4.57,9391
18089,18090,1.17,Ideal,F,SI2,62.2,55.0,6.73,6.7,4.18,5556
19548,19549,0.53,Ideal,D,VS2,61.4,56.0,5.23,5.2,3.2,1956
18153,18154,0.3,Good,H,SI1,63.8,55.0,4.26,4.2,2.7,554
4098,4099,0.56,Ideal,D,VS2,62.1,57.0,5.25,5.28,3.27,1963
23697,23698,0.32,Ideal,F,SI1,61.0,55.0,4.45,4.47,2.72,648
7501,7502,1.04,Ideal,E,SI2,61.4,56.0,6.5,6.56,4.01,4804
14093,14094,0.72,Ideal,G,VS1,61.7,56.0,5.75,5.78,3.56,3478
9646,9647,0.34,Ideal,I,VS2,61.5,55.0,4.53,4.55,2.79,495
16671,16672,2.1,Premium,J,SI2,62.0,62.0,8.23,8.17,5.08,12308
26609,26610,1.51,Premium,G,VS2,61.3,58.0,7.39,7.33,4.51,16091
19821,19822,0.9,Good,E,SI1,58.3,61.0,6.24,6.29,3.65,4165
2288,2289,0.52,Ideal,G,SI1,61.2,55.0,5.2,5.23,3.19,1675
15666,15667,0.3,Very Good,I,VVS2,62.1,56.0,4.27,4.31,2.66,533
1408,1409,0.43,Ideal,G,VVS1,60.5,57.0,4.86,4.92,2.96,1207
15987,15988,0.56,Ideal,H,VVS2,61.8,56.0,5.28,5.33,3.28,2118
25374,25375,1.34,Ideal,G,VS1,62.7,57.0,7.04,7.1,4.43,9890
973,974,1.5,Good,G,SI1,59.7,65.0,7.46,7.34,4.42,9954
11217,11218,0.31,Very Good,D,VS2,61.8,57.0,4.36,4.41,2.71,734
26896,26897,0.32,Premium,G,VS1,62.1,58.0,4.39,4.37,2.72,828
8153,8154,0.62,Ideal,F,SI1,62.7,54.0,5.47,5.53,3.45,1637
26869,26870,3.24,Premium,H,I1,62.1,58.0,9.44,9.4,5.85,12300
8204,8205,1.52,Ideal,F,SI1,61.5,55.0,7.44,7.41,4.57,12477
22946,22947,1.01,Good,E,VS1,63.8,60.0,6.25,6.23,3.98,7127
22051,22052,1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,7056
17437,17438,0.64,Ideal,H,SI2,60.8,56.0,5.57,5.61,3.4,1125
11768,11769,0.53,Ideal,F,VS1,62.3,55.0,5.18,5.22,3.24,1812
24648,24649,1.0,Fair,E,SI2,55.4,62.0,6.63,6.59,3.66,3011
21637,21638,0.32,Ideal,F,VS2,62.4,57.0,4.38,4.34,2.72,828
3678,3679,0.3,Ideal,G,VS1,62.0,54.0,4.3,4.35,2.68,605
5681,5682,1.01,Good,H,SI1,60.3,64.0,6.52,6.49,3.92,4320
17785,17786,0.33,Premium,D,SI1,60.0,59.0,4.5,4.47,2.69,780
7962,7963,0.53,Ideal,G,VS1,61.5,57.0,5.21,5.23,3.21,1791
10653,10654,0.31,Premium,H,SI1,61.1,57.0,4.35,4.32,2.65,573
22323,22324,0.82,Ideal,F,VS2,61.9,57.0,5.99,5.96,3.7,3453
7854,7855,0.31,Very Good,G,SI1,61.5,59.0,4.34,4.38,2.68,462
17702,17703,2.51,Ideal,H,SI1,62.9,56.0,8.65,8.61,5.43,15324
1399,1400,0.9,Premium,I,VS1,61.0,55.0,6.29,6.27,3.83,3720
8212,8213,1.03,Ideal,G,VVS2,61.2,57.0,6.48,6.52,3.98,8483
25381,25382,0.53,Ideal,D,VS2,61.2,56.0,5.2,5.23,3.19,1857
14910,14911,0.4,Premium,E,VS1,61.5,58.0,4.73,4.76,2.92,800
506,507,1.5,Premium,D,I1,61.7,62.0,7.28,7.24,4.48,6300
20647,20648,1.02,Premium,G,VS2,62.7,58.0,6.44,6.36,4.01,5407
594,595,0.4,Very Good,D,VS1,62.9,55.0,4.73,4.77,2.99,1004
16264,16265,0.38,Premium,E,VVS1,61.9,58.0,4.62,4.66,2.87,1267
20696,20697,0.92,Very Good,D,SI2,61.6,58.0,6.19,6.22,3.82,4327
11733,11734,0.3,Ideal,E,VVS2,61.9,59.0,4.27,4.3,2.65,766
10043,10044,0.34,Good,G,SI1,63.9,58.0,4.4,4.43,2.82,507
26529,26530,0.74,Ideal,G,SI2,61.7,56.0,5.8,5.87,3.6,2690
12331,12332,0.26,Very Good,F,VVS1,62.0,59.0,4.08,4.15,2.55,597
8108,8109,0.57,Ideal,G,VS2,61.8,56.0,5.3,5.35,3.29,1608
2473,2474,2.21,Ideal,I,SI1,61.6,57.0,8.38,8.43,5.18,18062
6349,6350,0.4,Ideal,H,VVS2,60.8,55.0,4.79,4.82,2.92,877
4592,4593,0.52,Ideal,G,VVS2,60.8,57.0,5.16,5.21,3.15,1911
14705,14706,0.34,Very Good,F,VS2,61.5,58.2,4.49,4.51,2.77,730
19553,19554,0.7,Very Good,I,VS1,61.9,58.0,5.7,5.73,3.54,2304
1922,1923,0.31,Premium,G,VS2,60.9,58.0,4.38,4.35,2.66,698
26787,26788,1.6,Ideal,J,SI1,62.8,55.0,7.48,7.42,4.68,8418
11081,11082,1.37,Ideal,G,VVS1,62.6,55.0,7.07,7.12,4.44,12342
13384,13385,0.95,Premium,G,SI2,60.5,62.0,6.44,6.36,3.88,3671
10049,10050,1.13,Ideal,F,VVS2,61.4,56.0,6.77,6.72,4.14,10327
9666,9667,1.01,Premium,F,SI2,60.0,60.0,6.46,6.4,3.86,3717
7161,7162,1.01,Very Good,F,SI2,59.1,57.0,6.57,6.62,3.9,4304
10534,10535,0.7,Premium,E,VVS2,61.0,59.0,5.64,5.71,3.5,3389
26191,26192,2.54,Very Good,H,SI2,63.5,56.0,8.68,8.65,5.5,16353
25500,25501,0.71,Ideal,D,VS2,61.2,55.0,5.74,5.78,3.53,4029
7897,7898,1.26,Premium,J,SI1,61.7,58.0,6.91,6.99,4.29,5114
15786,15787,1.6,Ideal,F,VS2,62.0,55.0,7.49,7.54,4.66,18421
6260,6261,0.72,Premium,G,VS2,62.4,57.0,5.73,5.72,3.57,2441
8142,8143,0.41,Premium,H,VVS1,60.4,58.0,4.85,4.79,2.91,1115
26011,26012,0.3,Ideal,D,SI2,61.1,58.0,4.31,4.33,2.64,413
4589,4590,2.05,Ideal,J,VS1,61.4,59.0,8.16,8.13,5.0,16793
18938,18939,0.32,Ideal,F,VVS1,61.5,56.0,4.41,4.43,2.72,867
16783,16784,0.54,Ideal,I,VS1,61.6,54.0,5.26,5.3,3.25,1216
6196,6197,0.55,Premium,F,SI1,60.2,58.0,5.31,5.35,3.21,1410
13725,13726,1.58,Very Good,G,VS2,59.6,58.0,7.59,7.69,4.55,13037
8966,8967,0.52,Very Good,I,VVS2,61.9,56.0,5.16,5.18,3.2,1289
20913,20914,0.32,Ideal,F,VS2,61.4,57.0,4.4,4.43,2.71,660
23054,23055,1.19,Ideal,F,VVS1,,57.0,6.84,6.79,4.22,12776
4130,4131,0.56,Ideal,D,SI1,61.3,55.0,5.32,5.35,3.27,1708
6007,6008,1.06,Ideal,E,VS1,62.1,57.0,6.49,6.52,4.04,8413
21846,21847,0.71,Ideal,G,VVS2,61.5,57.0,5.73,5.75,3.53,2893
11412,11413,0.51,Ideal,D,VS2,,57.0,5.18,5.21,3.16,1769
1217,1218,0.26,Ideal,G,IF,61.7,54.0,4.15,4.18,2.57,648
12037,12038,1.51,Very Good,G,VS1,61.8,57.0,7.31,7.42,4.55,13348
6827,6828,1.12,Premium,I,VS2,62.4,58.0,6.63,6.59,4.13,4321
961,962,1.51,Ideal,H,VS2,62.5,56.0,7.37,7.33,4.57,11133
23381,23382,0.42,Premium,G,SI1,61.6,61.0,4.82,4.79,2.96,882
9232,9233,2.02,Good,F,SI2,57.1,60.0,8.31,8.25,4.73,12615
2391,2392,1.5,Very Good,I,SI1,60.3,60.0,7.46,7.43,4.49,8127
279,280,0.46,Good,D,VS2,63.2,56.0,4.89,4.92,3.1,1205
1954,1955,0.41,Premium,I,VVS2,59.9,58.0,4.81,4.87,2.9,827
6321,6322,0.7,Ideal,H,SI1,61.4,57.0,5.64,5.76,3.5,2240
6055,6056,0.38,Ideal,D,VVS2,61.5,57.0,4.63,4.67,2.86,1200
11218,11219,0.3,Premium,G,VVS1,60.7,58.0,4.34,4.36,2.64,789
1740,1741,0.5,Premium,E,VS2,61.8,59.0,5.12,5.08,3.15,1629
26176,26177,1.0,Premium,E,SI2,60.5,61.0,6.38,6.31,3.84,4077
6596,6597,1.2,Very Good,G,VVS1,61.8,55.0,6.79,6.83,4.21,9968
8649,8650,2.18,Ideal,F,SI2,62.6,55.0,8.27,8.22,5.16,14277
13978,13979,0.56,Very Good,H,SI2,59.5,57.0,5.4,5.43,3.22,1144
11820,11821,1.01,Very Good,E,VS2,63.1,60.0,6.3,6.26,3.96,6335
5962,5963,0.56,Good,E,VS2,62.3,63.0,5.22,5.27,3.27,1920
19163,19164,1.5,Fair,H,SI1,65.9,56.0,7.11,7.04,4.66,7211
25164,25165,1.03,Ideal,F,VS2,62.0,57.0,6.4,6.48,3.99,6902
1345,1346,0.71,Ideal,G,SI2,61.3,55.0,5.76,5.79,3.54,2387
63,64,0.3,Ideal,F,VS1,61.9,55.0,4.28,4.3,2.66,673
18620,18621,1.03,Ideal,D,SI2,60.5,58.0,6.52,6.58,3.96,5491
12460,12461,0.52,Ideal,H,VS1,62.4,55.0,5.19,5.17,3.23,1577
22277,22278,0.71,Good,H,SI1,58.4,62.1,5.8,5.83,3.4,2282
15557,15558,0.78,Ideal,D,SI1,61.1,57.0,5.95,5.97,3.64,3214
3029,3030,0.38,Premium,I,VS1,61.3,60.0,4.65,4.62,2.84,898
14014,14015,0.53,Ideal,G,VS1,61.9,55.0,5.22,5.25,3.24,1695
23586,23587,0.44,Ideal,D,VS1,61.6,56.0,4.92,4.85,3.01,1294
10402,10403,0.32,Premium,E,VVS1,61.8,59.0,4.35,4.39,2.7,954
18695,18696,0.73,Premium,G,VS2,59.2,59.0,5.92,5.87,3.49,2770
24755,24756,1.2,Premium,F,SI2,62.5,59.0,6.74,6.68,4.2,5332
21321,21322,0.7,Premium,G,SI1,61.2,60.0,5.7,5.74,3.5,2042
3192,3193,0.32,Ideal,I,VS2,61.5,56.0,4.41,4.4,2.71,576
18377,18378,0.35,Ideal,G,IF,61.3,55.0,4.57,4.6,2.81,1001
14216,14217,0.77,Premium,J,SI1,61.8,59.0,5.86,5.82,3.61,2010
1454,1455,0.34,Ideal,F,VS2,62.5,55.0,4.48,4.51,2.81,686
2653,2654,1.12,Premium,D,SI2,60.5,59.0,6.72,6.76,4.08,5233
9492,9493,1.09,Ideal,J,VS2,62.0,54.0,6.64,6.61,4.11,4361
11643,11644,0.32,Premium,G,SI1,61.6,58.0,4.4,4.36,2.7,612
2598,2599,0.3,Ideal,I,SI1,61.9,58.0,4.27,4.32,2.66,422
21307,21308,0.5,Ideal,E,VS2,61.5,57.0,5.14,5.11,3.15,1746
8824,8825,0.32,Ideal,F,VVS1,61.9,56.0,4.41,4.44,2.74,895
1817,1818,0.5,Very Good,G,VVS2,61.4,57.0,5.1,5.16,3.15,1813
19578,19579,0.79,Very Good,F,SI1,62.7,60.0,5.82,5.89,3.67,2878
14360,14361,0.49,Ideal,H,SI2,60.7,56.0,5.13,5.18,3.13,1190
8253,8254,0.32,Ideal,J,IF,61.0,57.0,4.42,4.46,2.71,521
20726,20727,0.3,Ideal,D,SI1,61.9,57.0,4.28,4.32,2.66,524
23540,23541,0.91,Good,D,SI1,64.0,58.0,6.09,6.06,3.89,3730
8097,8098,1.28,Premium,G,VS2,61.4,58.0,7.0,6.92,4.27,8458
13504,13505,0.53,Ideal,E,VS2,61.4,56.0,5.21,5.24,3.21,1721
3098,3099,0.3,Ideal,D,VVS1,61.6,56.0,4.33,4.37,2.68,912
24456,24457,0.57,Ideal,G,VS1,61.1,57.0,5.34,5.36,3.27,2060
3446,3447,0.24,Ideal,F,VS2,62.2,57.0,3.96,4.01,2.48,419
23797,23798,0.56,Ideal,G,VVS2,62.0,54.0,5.28,5.32,3.29,1949
13356,13357,0.5,Very Good,G,VS1,61.0,58.0,5.08,5.15,3.12,1694
9584,9585,0.32,Premium,H,IF,61.8,58.0,4.39,4.35,2.7,979
26052,26053,0.26,Ideal,H,VVS2,61.8,55.7,4.08,4.1,2.53,478
16334,16335,0.41,Ideal,G,VS2,60.9,57.0,4.79,4.84,2.93,827
6822,6823,0.53,Ideal,E,VS2,61.8,55.0,5.21,5.24,3.23,2163
633,634,0.35,Fair,F,VVS1,54.6,59.0,4.85,4.79,2.63,1011
20988,20989,0.79,Very Good,D,SI1,59.7,57.0,5.96,5.99,3.57,3432
10115,10116,1.03,Fair,G,SI2,65.6,58.0,6.3,6.26,4.12,3765
6961,6962,0.42,Ideal,G,VS2,62.2,56.0,4.8,4.82,2.99,847
14149,14150,0.3,Good,F,VS2,63.1,55.0,4.24,4.29,2.69,484
14517,14518,1.02,Good,D,VS2,63.2,58.0,6.36,6.4,4.03,7539
7080,7081,0.23,Very Good,F,VVS1,62.8,54.0,3.92,3.94,2.47,583
3132,3133,0.41,Premium,G,VVS2,61.6,58.0,4.74,4.8,2.94,1007
12262,12263,1.18,Premium,I,VS1,,59.0,6.73,6.71,4.21,5477
18065,18066,0.51,Ideal,E,VS2,62.0,54.0,5.13,5.1,3.17,1662
11893,11894,0.8,Ideal,D,SI1,62.2,57.0,5.89,5.85,3.65,3011
2940,2941,1.22,Ideal,H,VS1,62.3,55.0,6.8,6.84,4.25,7418
25414,25415,1.02,Premium,F,SI2,61.1,62.0,6.54,6.49,3.98,4057
20009,20010,0.71,Very Good,I,SI1,62.9,59.0,5.66,5.7,3.57,2008
1032,1033,0.9,Ideal,D,SI1,61.3,58.0,6.16,6.21,3.79,4661
11339,11340,1.09,Premium,H,VS2,62.6,56.0,6.62,6.55,4.12,5601
12906,12907,0.33,Premium,G,VS2,62.6,58.0,4.44,4.41,2.77,743
2423,2424,0.34,Ideal,F,SI1,63.0,54.0,4.5,4.48,2.83,727
21784,21785,0.41,Premium,D,SI2,61.9,58.0,4.73,4.71,2.92,876
14752,14753,0.73,Very Good,I,VS2,59.0,61.0,5.84,5.88,3.46,2329
6804,6805,0.52,Ideal,H,VS2,62.2,56.4,5.09,5.16,3.19,1391
19882,19883,0.83,Ideal,G,SI1,62.1,57.0,6.03,5.95,3.72,3044
15917,15918,0.78,Very Good,E,VS2,61.7,58.0,5.9,5.93,3.65,3334
23079,23080,0.3,Ideal,H,VVS1,61.9,57.0,4.3,4.33,2.67,665
24421,24422,1.21,Premium,F,VS1,61.9,58.0,6.82,6.76,4.2,10245
21428,21429,0.3,Ideal,H,SI1,60.9,58.0,4.31,4.33,2.63,450
17252,17253,0.38,Good,H,SI1,63.3,57.0,4.58,4.62,2.91,633
14445,14446,0.71,Ideal,D,VS2,61.2,56.0,5.76,5.78,3.53,3135
23502,23503,0.42,Good,F,SI1,63.4,56.0,4.76,4.8,3.03,722
679,680,0.26,Ideal,H,VS1,62.2,55.0,4.06,4.11,2.54,462
25300,25301,0.51,Premium,F,VS1,60.0,58.0,5.21,5.19,3.12,1749
4169,4170,0.31,Very Good,H,VS1,61.4,56.0,4.37,4.39,2.69,544
15276,15277,1.2,Ideal,E,VVS1,61.8,56.0,6.78,6.87,4.22,16256
8599,8600,2.0,Premium,J,VS1,63.0,58.0,8.04,7.99,5.05,9296
20531,20532,0.71,Very Good,E,VS2,59.9,59.0,5.79,5.83,3.48,3053
26283,26284,0.53,Ideal,D,SI2,60.4,57.0,5.3,5.26,3.19,1412
24968,24969,1.06,Ideal,G,VS2,62.2,56.0,6.51,6.54,4.06,6660
4122,4123,0.34,Very Good,G,VS2,61.2,62.0,4.44,4.48,2.73,596
9815,9816,1.54,Premium,I,VS2,61.7,59.0,7.4,7.34,4.55,8917
9787,9788,0.34,Very Good,F,SI1,59.4,62.0,4.54,4.59,2.71,566
15938,15939,1.51,Good,I,VS2,62.9,57.0,7.23,7.27,4.56,8720
9745,9746,0.53,Ideal,E,SI1,61.4,56.0,5.2,5.26,3.21,1564
8140,8141,1.23,Good,J,SI2,63.2,57.5,6.74,6.82,4.29,4992
170,171,1.53,Very Good,F,SI1,58.5,59.0,7.55,7.62,4.44,11713
13096,13097,0.78,Ideal,G,VS2,62.6,57.0,5.87,5.91,3.69,3325
2882,2883,0.33,Very Good,D,VS1,63.2,56.0,4.45,4.44,2.81,1109
3205,3206,1.5,Fair,J,SI2,65.5,60.0,7.07,7.03,4.62,5268
14604,14605,0.91,Premium,D,SI1,61.5,59.0,6.25,6.18,3.82,4165
15079,15080,0.71,Ideal,D,SI2,61.0,56.0,5.77,5.8,3.53,2505
23380,23381,1.51,Good,D,VS2,59.8,65.0,7.36,7.43,4.42,12709
18598,18599,1.02,Ideal,J,VS2,62.0,56.0,6.42,6.45,3.99,4485
18673,18674,0.79,Ideal,I,VS2,63.0,58.0,5.85,5.89,3.7,2712
1033,1034,0.27,Premium,G,VS2,62.4,59.0,4.13,4.11,2.57,509
13597,13598,0.4,Ideal,I,VVS2,62.6,54.0,4.69,4.73,2.95,751
16583,16584,0.37,Premium,G,VS2,61.2,60.0,4.63,4.58,2.82,833
19706,19707,0.31,Good,G,VS1,63.2,57.0,4.28,4.33,2.72,625
1385,1386,0.8,Ideal,G,VS2,61.2,57.0,6.02,6.07,3.7,2969
1295,1296,0.72,Ideal,E,VS2,61.7,55.0,5.8,5.77,3.57,3427
8875,8876,0.92,Ideal,H,SI2,,57.0,6.3,6.29,3.81,3854
25900,25901,1.01,Ideal,G,VS2,62.4,56.0,6.41,6.37,3.99,6108
23402,23403,1.59,Premium,H,SI2,62.6,59.0,7.42,7.4,4.64,9385
3126,3127,0.4,Premium,E,VS1,62.5,58.0,4.69,4.72,2.94,1053
25406,25407,1.06,Premium,G,VS1,62.2,55.0,6.58,6.51,4.07,6853
20099,20100,0.56,Premium,G,SI1,61.7,58.0,5.31,5.29,3.27,1176
19829,19830,1.03,Ideal,F,VS2,60.2,54.0,6.64,6.61,3.99,7550
17037,17038,0.34,Ideal,D,VS2,61.6,55.0,4.54,4.48,2.78,881
7360,7361,0.53,Ideal,D,VS2,,55.0,5.2,5.24,3.22,1722
8871,8872,0.55,Ideal,G,VVS1,61.2,56.0,5.27,5.29,3.23,2632
17476,17477,0.4,Ideal,I,VS2,61.7,57.0,4.73,4.77,2.93,770
1497,1498,1.05,Fair,J,SI2,65.8,59.0,6.41,6.27,4.18,2789
14611,14612,0.71,Premium,H,VS1,62.9,57.0,5.72,5.67,3.58,2572
8992,8993,0.52,Ideal,H,VVS2,61.0,57.0,5.16,5.2,3.16,1749
747,748,1.78,Very Good,D,SI2,63.4,60.0,7.67,7.61,4.85,10730
22714,22715,2.03,Fair,H,SI1,65.4,58.0,7.91,7.88,5.16,14646
12221,12222,0.23,Very Good,E,VS2,60.8,58.0,3.98,4.02,2.43,402
5981,5982,0.92,Ideal,J,SI1,62.3,56.0,6.24,6.29,3.9,3170
16883,16884,0.91,Good,F,VS1,63.1,59.0,6.14,6.19,3.89,4502
23437,23438,0.3,Ideal,G,SI1,62.2,55.0,4.27,4.32,2.67,422
2206,2207,0.35,Ideal,D,VS1,63.0,57.0,4.51,4.48,2.83,990
3056,3057,0.3,Ideal,F,SI1,61.9,57.0,4.28,4.31,2.66,609
